postcode,address,suburb,created_at
2036.0,"G29/13 Oscar Place, Eastgardens NSW 2036",Eastgardens,2025-08-05 05:40:40.555175+00
2017.0,"1C/14 Defries Avenue, Zetland NSW 2017",Zetland,2025-08-05 05:40:40.555175+00
2134.0,"17/147-153 Liverpool Road, Burwood NSW 2134",Burwood,2025-08-05 05:40:40.555175+00
2000.0,"38 York Street, Sydney NSW 2000",Sydney,2025-08-05 05:40:40.555175+00
2134.0,"7/21-23 Gladstone Street, Burwood NSW 2134",Burwood,2025-08-05 05:40:40.555175+00
2031.0,"2/5 Glebe Street, Randwick NSW 2031",Randwick,2025-08-05 05:40:40.555175+00
2150.0,"F1/9 Hassall Street, Parramatta NSW 2150",Parramatta,2025-08-05 05:40:40.555175+00
2018.0,"540/11 Rosebery Avenue, Rosebery NSW 2018",Rosebery,2025-08-05 05:40:40.555175+00
2134.0,"602/65 Shaftesbury Road, Burwood NSW 2134",Burwood,2025-08-05 05:40:40.555175+00
2134.0,"37/26-28 Park Avenue, Burwood NSW 2134",Burwood,2025-08-05 05:40:40.555175+00
